title;price;location;time;url
Apple iPhone 12 Pro 256 gb Gold (Гарантия, trade-in (обмен) , магазин);32 079 грн.;Киев, Шевченковский;Вчера 11:03;"https://www.olx.ua/obyavlenie/apple-iphone-12-pro-256-gb-gold-garantiya-trade-in-obmen-magazin-IDJBdHJ.html#c4200fabe4;promoted"
IPhone 6 Plus 16GB / 64GB Neverlock *Магазин* 5/5C/5S/6/6+/6S/7/7+/8/8;3 899 грн.;Ковель;Вчера 14:32;"https://www.olx.ua/obyavlenie/iphone-6-plus-16gb-64gb-neverlock-magazin-5-5c-5s-6-6-6s-7-7-8-8-IDKsho2.html?sd=1#c4200fabe4;promoted"
Apple iPhone 11 64GB Black White Red Green Yellow Purple Apple Room;18 224 грн.;Львов, Галицкий;5  апр.;"https://www.olx.ua/obyavlenie/apple-iphone-11-64gb-black-white-red-green-yellow-purple-apple-room-IDLbifn.html#c4200fabe4;promoted"
Айфон:iPhone 6 16:32-64-128 Space Silver Gold магазин оригінал телефон;2 687 грн.;Ровно;Сегодня 06:40;"https://www.olx.ua/obyavlenie/ayfoniphone-6-1632-64-128-space-silver-gold-magazin-orignal-telefon-IDL24ti.html?sd=1#c4200fabe4;promoted"
Apple iPhone 7/8 Plus ГАРАНТИЯ айфон оригинал original;6 100 грн.;Кременчуг;Вчера 12:54;"https://www.olx.ua/obyavlenie/apple-iphone-7-8-plus-garantiya-ayfon-original-original-IDKHqxX.html?sd=1#c4200fabe4;promoted"
Iphone 11 pro;20 000 грн.;Киев, Шевченковский;Сегодня 22:12;https://www.olx.ua/obyavlenie/iphone-11-pro-IDLfTQE.html?sd=1#c4200fabe4
Iphone 8 plus 64;10 000 грн.;Киев, Шевченковский;Сегодня 22:11;https://www.olx.ua/obyavlenie/iphone-8-plus-64-IDLfQYS.html?sd=1#c4200fabe4
Продам еще на гарантии iPhone 11 64 gb;16 900 грн.;Киев, Дарницкий;Сегодня 22:09;https://www.olx.ua/obyavlenie/prodam-esche-na-garantii-iphone-11-64-gb-IDLfTP4.html?sd=1#c4200fabe4
Айфон 12 про;17 500 грн.;Кривой Рог, Саксаганский;Сегодня 22:09;https://www.olx.ua/obyavlenie/ayfon-12-pro-IDLfTOZ.html?sd=1#c4200fabe4
iPhone 7/32 без повреждений;5 750 грн.;Юбилейное;Сегодня 22:09;https://www.olx.ua/obyavlenie/iphone-7-32-bez-povrezhdeniy-IDLfTNt.html?sd=1#c4200fabe4
iPhone 6 gold Neverlock;2 000 грн.;Каменское;Сегодня 22:09;https://www.olx.ua/obyavlenie/iphone-6-gold-neverlock-IDLfTB8.html?sd=1#c4200fabe4
Продам Айфон хs макс;15 210 грн.;Одесса, Малиновский;Сегодня 22:09;https://www.olx.ua/obyavlenie/prodam-ayfon-hs-maks-IDKzJ1i.html#c4200fabe4
Apple iPhone 11 Pro 64 gb Gold КАК НОВЫЙ! ГАРАНТИЯ от МАГАЗИНА!;20 741 грн.;Киев, Шевченковский;Сегодня 22:09;"https://www.olx.ua/obyavlenie/apple-iphone-11-pro-64-gb-gold-kak-novyy-garantiya-ot-magazina-IDIvx1x.html#c4200fabe4;promoted"
iPhone 6 16gb silver неверлок;2 200 грн.;Баловка;Сегодня 22:08;https://www.olx.ua/obyavlenie/iphone-6-16gb-silver-neverlok-IDLfTLc.html?sd=1#c4200fabe4
Продам б/у Iphone 8+;8 500 грн.;Харьков, Киевский;Сегодня 22:13;"https://www.olx.ua/obyavlenie/prodam-b-u-iphone-8-IDLfTKB.html?sd=1#c4200fabe4;promoted"
iPhone X 256GB Silver;11 000 грн.;Киев, Шевченковский;Сегодня 22:08;"https://www.olx.ua/obyavlenie/iphone-x-256gb-silver-IDKYF1w.html?sd=1#c4200fabe4;promoted"
Iphone 6 оригинал;3 100 грн.;Энергодар;Сегодня 22:08;https://www.olx.ua/obyavlenie/iphone-6-original-IDKUrvK.html?sd=1#c4200fabe4
Телефон IPhone Xs;12 000 грн.;Киев, Деснянский;Сегодня 22:06;https://www.olx.ua/obyavlenie/telefon-iphone-xs-IDLfTHj.html?sd=1#c4200fabe4
iPhone 11 PRO MAX 64 GB gold.;21 999 грн.;Харьков, Шевченковский;Сегодня 22:05;https://www.olx.ua/obyavlenie/iphone-11-pro-max-64-gb-gold-IDKqPGr.html?sd=1#c4200fabe4
iPhone Xr 256;17 146 грн.;Одесса, Малиновский;Сегодня 22:05;"https://www.olx.ua/obyavlenie/iphone-xr-256-IDLeqQH.html#c4200fabe4;promoted"
Айфон 5s 16 ГБ модуль полетів;1 100 грн.;Ужгород;Сегодня 22:04;https://www.olx.ua/obyavlenie/ayfon-5s-16-gb-modul-poletv-IDI5Kan.html#c4200fabe4
iPhone 5s Оригинал Apple 32GB 16GB Чехол Ferrari Кожа Scuderia супер;1 971 грн.;Киев, Святошинский;Сегодня 22:04;"https://www.olx.ua/obyavlenie/iphone-5s-original-apple-32gb-16gb-chehol-ferrari-kozha-scuderia-super-IDLdFll.html?sd=1#c4200fabe4;promoted"
iPhone 7 Plus 128gb Red Neverlock;8 269 грн.;Николаев, Центральный;Сегодня 22:02;https://www.olx.ua/obyavlenie/iphone-7-plus-128gb-red-neverlock-IDKR4EG.html#c4200fabe4
Iphone X silver 256GB;11 000 грн.;Алексеевка;Сегодня 22:02;https://www.olx.ua/obyavlenie/iphone-x-silver-256gb-IDLfMjb.html?sd=1#c4200fabe4
Apple iPhone XR 64GB Red 9 з 10 iCloud lock донор Айфон хр;4 300 грн.;Львов, Сиховский;Сегодня 22:02;https://www.olx.ua/obyavlenie/apple-iphone-xr-64gb-red-9-z-10-icloud-lock-donor-ayfon-hr-IDKPtNt.html?sd=1#c4200fabe4
Apple iPhone 11 64Gb Оригинал - Red;16 200 грн.;Киев, Шевченковский;Сегодня 22:01;https://www.olx.ua/obyavlenie/apple-iphone-11-64gb-original-red-IDLfTuy.html?sd=1#c4200fabe4
